"   Gen   ","   Avg Mass   ","   Avg Width   ","   Avg Density   ","   Avg Armor   ","   Avg Wing Size   ","   Avg Velocity   "
1,127.888336,44.899166,0.19304466,,0.0,912.9381
2,128.53836,44.923756,0.19235538,,0.0,915.6417
3,128.6627,44.425484,0.19219305,,0.0,915.9271
4,128.93314,44.602837,0.19149649,,0.0,915.5711
5,130.19936,44.085293,0.19217114,,0.0,918.93
6,132.6101,44.204082,0.19254413,,0.0,920.7306
7,131.82877,44.57976,0.19150706,,0.0,919.7634
8,129.89667,45.9103,0.18831077,,0.0,921.28595
9,132.2562,46.446213,0.1891076,,0.0,921.95526
10,132.36661,47.41378,0.18724582,,0.0,924.10754
11,129.96523,45.910885,0.18663412,,0.0,923.79895
12,133.36922,46.237934,0.18653117,,0.0,926.00287
13,134.96118,47.007965,0.18589519,,0.0,934.4254
14,134.03862,46.691402,0.18513499,,0.0,936.75824
15,134.56213,46.200333,0.18505974,,0.0,936.3601
16,136.95692,47.30586,0.1849921,,0.0,933.06226
17,137.65868,48.518364,0.18341145,,0.0,929.47833
18,138.44417,49.39197,0.18388349,,0.0,932.8177
19,143.72293,51.024513,0.18635996,,0.0,935.61664
20,143.3571,50.82153,0.1863844,,0.0,932.5683
21,141.86569,50.19433,0.18580513,,0.0,929.00696
22,142.4521,49.67324,0.18632436,,0.0,931.78094
23,141.02379,49.72106,0.18611822,,0.0,932.4044
24,142.45738,47.44289,0.18784201,,0.0,931.23425
25,140.7019,47.31734,0.18837406,,0.0,933.0599
26,141.92783,49.53854,0.18783425,,0.0,929.8104
27,137.86485,48.16963,0.18613082,,0.0,932.4866
28,138.5654,48.940834,0.1854887,,0.0,933.4094
29,143.16833,48.25618,0.1884734,,0.0,933.5111
30,149.71739,49.06297,0.1913849,,0.0,927.31885
31,144.25975,47.436962,0.19029182,,0.0,936.43365
32,143.62447,47.865864,0.18998626,,0.0,937.92316
33,135.61978,46.72077,0.18664305,,0.0,943.2991
34,136.8715,48.176117,0.1849375,,0.0,938.4889
35,133.9406,47.965885,0.18321764,,0.0,938.3781
36,132.6911,48.94875,0.18070105,,0.0,934.9282
37,132.47862,49.14604,0.17942905,,0.0,940.8408
38,133.09563,49.09721,0.1802252,,0.0,936.6647
39,134.92392,50.024776,0.17846972,,0.0,924.4464
40,135.77061,49.60336,0.17962237,,0.0,931.5074
41,143.54185,52.27118,0.1799462,,0.0,930.7225
42,143.19092,54.03896,0.17716008,,0.0,927.75745
43,147.89764,55.575535,0.1783141,,0.0,925.55994
44,151.29785,56.622334,0.17867456,,0.0,922.62115
45,152.89296,56.80122,0.17744002,,0.0,919.5691
46,157.12575,58.09041,0.17845581,,0.0,925.18243
47,160.3567,58.381283,0.1800638,,0.0,920.44995
48,160.4973,58.06788,0.17987506,,0.0,925.2139
49,159.46698,57.21507,0.17932664,,0.0,920.209
50,162.08017,58.40367,0.1797356,,0.0,932.28577
51,161.21727,57.93015,0.18066114,,0.0,924.047
52,163.22215,58.013393,0.18182652,,0.0,922.13544
53,163.14641,58.746914,0.18074581,,0.0,918.1684
54,163.22345,58.355843,0.18047646,,0.0,921.69653
55,165.08539,60.156578,0.17980775,,0.0,922.9914
56,164.42896,59.63783,0.17924142,,0.0,924.14496
57,165.8649,59.637627,0.17841342,,0.0,925.91876
58,166.37907,60.60039,0.17923845,,0.0,929.4881
59,165.82854,61.906837,0.17878556,,0.0,928.5595
60,167.41376,63.413193,0.17820792,,0.0,933.24817
61,168.83514,63.10348,0.1783949,,0.0,936.898
62,168.6044,64.59179,0.17835611,,0.0,944.00006
63,168.37471,65.3267,0.17854117,,0.0,951.1365
64,167.48456,64.336395,0.17965572,,0.0,950.7494
65,167.769,65.345566,0.17889243,,0.0,959.3707
66,170.06238,65.66037,0.17947926,,0.0,958.2506
67,170.75232,64.92309,0.18001886,,0.0,954.96857
68,167.68959,65.066734,0.17977002,,0.0,954.5788
69,171.05621,65.19833,0.1807211,,0.0,951.644
70,172.15967,66.51831,0.17980935,,0.0,950.00287
71,174.33798,66.915276,0.18095654,,0.0,956.98627
72,177.6515,67.12157,0.18171024,,0.0,963.157
73,182.50443,67.340546,0.18205632,,0.0,964.5165
74,184.3011,67.38692,0.18259597,,0.0,969.6684
75,181.5926,66.89484,0.18292281,,0.0,966.62317
76,190.02069,67.0281,0.1845756,,0.0,978.24713
77,195.25078,67.4331,0.18506037,,0.0,978.97455
78,191.00706,68.90225,0.18393244,,0.0,975.885
79,190.74187,67.98609,0.18407752,,0.0,976.4832
80,189.13728,67.846436,0.18388422,,0.0,975.13635
81,189.49335,68.280396,0.18389057,,0.0,977.3938
82,190.12865,66.94255,0.18452606,,0.0,982.8489
83,187.20944,67.84493,0.18321669,,0.0,977.4678
84,190.8002,67.202484,0.18374014,,0.0,977.5693
85,197.01009,67.15842,0.18374476,,0.0,975.4229
86,204.40962,67.43667,0.1838593,,0.0,974.22437
87,207.42442,67.30336,0.18533556,,0.0,978.75574
88,210.57281,67.90683,0.18345462,,0.0,971.80023
89,209.63162,67.557144,0.1829267,,0.0,968.78906
90,213.58862,68.51602,0.1830067,,0.0,971.45605
91,211.78575,68.06833,0.18315502,,0.0,975.01495
92,203.4937,67.43537,0.18287224,,0.0,982.47723
93,211.13756,68.90316,0.18362448,,0.0,978.82025
94,218.138,69.172585,0.18336987,,0.0,983.818
95,220.94682,69.704865,0.18402547,,0.0,982.78217
96,227.66914,69.651146,0.18445677,,0.0,988.162
97,228.19255,70.7253,0.18416142,,0.0,983.4538
98,225.04329,70.251854,0.18438801,,0.0,983.41534
99,224.29617,69.28045,0.18313882,,0.0,981.93024
100,225.83769,69.82005,0.18365401,,0.0,979.19977
101,233.38977,69.97402,0.18331419,,0.0,978.7753
102,234.08304,69.636604,0.18416642,,0.0,981.83734
